Nombre,Apellido materno,Apellido paterno,Edad,CURP,Prueba1,Prueba2,Team
James James,Butt,Motley,15,4a616d65734a616d6573427574744d6f746c65794c41,50P,100P,C
Josephine Josephine,Darakjy,Biddy,9,4a6f73657068696e654a6f73657068696e65446172616b6a7942696464794d49,100P,100L,B
Art Art,Venere,Bookamer,15,41727441727456656e657265426f6f6b616d65724e4a,50M,50L,B
Lenna Lenna,Paprocki,Kampa,9,4c656e6e614c656e6e61506170726f636b694b616d7061414b,100P,100CI,D
Donette Donette,Foller,Gillaspie,9,446f6e65747465446f6e65747465466f6c6c657247696c6c61737069654f48,100L,100P,B
Simona Simona,Morasca,Harabedian,18,53696d6f6e6153696d6f6e614d6f72617363614861726162656469616e4f48,100P,50M,E
Mitsue Mitsue,Tollner,Hixenbaugh,17,4d69747375654d6974737565546f6c6c6e6572486978656e6261756768494c,100D,100P,C
Leota Leota,Dilliard,Oles,11,4c656f74614c656f746144696c6c696172644f6c65734341,100CI,50L,D
Sage Sage,Wieser,Ankeny,16,5361676553616765576965736572416e6b656e795344,100CI,50M,D
Kris Kris,Marrier,Boulter,12,4b7269734b7269734d617272696572426f756c7465724d44,50M,100D,E
Minna Minna,Amigon,Lorens,9,4d696e6e614d696e6e61416d69676f6e4c6f72656e735041,50D,100L,C
Abel Abel,Maclead,Tillotson,10,4162656c4162656c4d61636c65616454696c6c6f74736f6e4e59,100L,50P,B
Kiley Kiley,Caldarera,Similton,13,4b696c65794b696c657943616c64617265726153696d696c746f6e4341,100P,50P,D
Graciela Graciela,Ruta,Chesterfield,15,4772616369656c614772616369656c6152757461436865737465726669656c644f48,50P,50L,C
Cammy Cammy,Albares,Asar,13,43616d6d7943616d6d79416c6261726573417361725458,100D,100P,E
Mattie Mattie,Poquette,Paskin,15,4d61747469654d6174746965506f7175657474655061736b696e415a,50L,50M,F
Meaghan Meaghan,Garufi,Gabisi,18,4d65616768616e4d65616768616e476172756669476162697369544e,50P,100CI,E
Gladys Gladys,Rim,Liukko,13,476c61647973476c6164797352696d4c69756b6b6f5749,100P,50P,B
Yuki Yuki,Whobrey,Delasancha,9,59756b6959756b6957686f6272657944656c6173616e6368614d49,100CI,50L,A
Fletcher Fletcher,Flosi,Yori,18,466c657463686572466c657463686572466c6f7369596f7269494c,50D,50P,B
Bette Bette,Nicka,Jacobos,18,426574746542657474654e69636b614a61636f626f735041,50D,100L,E
Veronika Veronika,Inouye,Palaia,15,5665726f6e696b615665726f6e696b61496e6f75796550616c6169614341,100CI,50L,D
Willard Willard,Kolmetz,Sayaphon,16,57696c6c61726457696c6c6172644b6f6c6d65747a5361796170686f6e5458,50M,100L,C
Maryann Maryann,Royster,Schieler,16,4d617279616e6e4d617279616e6e526f797374657253636869656c65724e59,50L,50D,D
Alisha Alisha,Slusarski,Chavous,10,416c69736861416c69736861536c75736172736b69436861766f75734e4a,100D,100CI,D
Allene Allene,Iturbide,Devreese,11,416c6c656e65416c6c656e65497475726269646544657672656573655749,100CI,50D,B
Chanel Chanel,Caudy,Nunlee,10,4368616e656c4368616e656c43617564794e756e6c65654b53,50L,50M,B
Ezekiel Ezekiel,Chui,Juvera,9,457a656b69656c457a656b69656c436875694a75766572614d44,50D,50P,D
Willow Willow,Kusko,Bourbon,14,57696c6c6f7757696c6c6f774b75736b6f426f7572626f6e4e59,100CI,50L,C
Bernardo Bernardo,Figeroa,Chaffins,15,4265726e6172646f4265726e6172646f46696765726f614368616666696e735458,100D,100L,B
Ammie Ammie,Corrio,Harnos,14,416d6d6965416d6d6965436f7272696f4861726e6f734f48,50P,50D,E
Francine Francine,Vocelka,Tromblay,16,4672616e63696e654672616e63696e65566f63656c6b6154726f6d626c61794e4d,50M,100L,D
Ernie Ernie,Stenseth,Kardas,9,45726e696545726e69655374656e736574684b61726461734e4a,50D,50M,B
Albina Albina,Glick,Rentfro,13,416c62696e61416c62696e61476c69636b52656e7466726f4e4a,50L,50D,C
Alishia Alishia,Sergi,Breland,11,416c6973686961416c697368696153657267694272656c616e644e59,100CI,100P,C
Solange Solange,Shinko,Keener,16,536f6c616e6765536f6c616e67655368696e6b6f4b65656e65724c41,100P,100L,C
Jose Jose,Stockham,Arceo,9,4a6f73654a6f736553746f636b68616d417263656f4e59,100D,100L,C
Rozella Rozella,Ostrosky,Dewar,14,526f7a656c6c61526f7a656c6c614f7374726f736b7944657761724341,50D,100D,B
Valentine Valentine,Gillian,Koppinger,15,56616c656e74696e6556616c656e74696e6547696c6c69616e4b6f7070696e6765725458,50M,50L,C
Kati Kati,Rulapaugh,Threets,13,4b6174694b61746952756c617061756768546872656574734b53,50L,50P,F
Youlanda Youlanda,Schemmer,Colaizzo,13,596f756c616e6461596f756c616e6461536368656d6d6572436f6c61697a7a6f4f52,50P,100P,E
Dyan Dyan,Oldroyd,Comnick,16,4479616e4479616e4f6c64726f7964436f6d6e69636b4b53,50D,50L,E
Roxane Roxane,Campain,Mcnease,11,526f78616e65526f78616e6543616d7061696e4d636e65617365414b,50M,50D,C
Lavera Lavera,Perin,Eanes,10,4c61766572614c6176657261506572696e45616e6573464c,50M,100P,F
Erick Erick,Ferencz,Jeanty,18,457269636b457269636b466572656e637a4a65616e7479414b,100CI,100L,C
Fatima Fatima,Saylors,Mclaird,16,466174696d61466174696d615361796c6f72734d636c616972644d4e,100CI,100L,B
Jina Jina,Briddick,Grenet,11,4a696e614a696e61427269646469636b4772656e65744d41,50P,100D,A
Kanisha Kanisha,Waycott,Samara,11,4b616e697368614b616e69736861576179636f747453616d6172614341,50M,100D,C
Emerson Emerson,Bowley,Diestel,10,456d6572736f6e456d6572736f6e426f776c65794469657374656c5749,100D,100L,F
Blair Blair,Malet,Weglarz,12,426c616972426c6169724d616c65745765676c61727a5041,50P,50L,C
Brock Brock,Bolognia,Rowling,14,42726f636b42726f636b426f6c6f676e6961526f776c696e674e59,50D,50M,E
Lorrie Lorrie,Nestle,Lipkin,13,4c6f727269654c6f727269654e6573746c654c69706b696e544e,100D,50L,A
Sabra Sabra,Uyetake,Galam,10,5361627261536162726155796574616b6547616c616d5343,100D,100P,A
Marjory Marjory,Mastella,Wildfong,12,4d61726a6f72794d61726a6f72794d617374656c6c6157696c64666f6e675041,100D,50M,D
Karl Karl,Klonowski,Perruzza,14,4b61726c4b61726c4b6c6f6e6f77736b6950657272757a7a614e4a,100CI,100L,F
Tonette Tonette,Wenner,Villanueva,11,546f6e65747465546f6e6574746557656e6e657256696c6c616e756576614e59,50M,100D,E
Amber Amber,Monarrez,Claucherty,12,416d626572416d6265724d6f6e617272657a436c61756368657274795041,100D,50M,D
